Year,Round,EventName,Driver,DriverNumber,Team,LapNumber,LapTime,Position,TireAge,Compound,Stint,PitInTime,PitOutTime,TrackTemp,AirTemp,Humidity,Pressure,WindDirection,WindSpeed,Rainfall,GapAhead,GapBehind,SafetyCar
2024,1,Bahrain Grand Prix,RIC,3,RB,6.0,0 days 00:01:38.689000,15.0,9.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,0.107,0.185,0
2024,1,Bahrain Grand Prix,RUS,63,Mercedes,6.0,0 days 00:01:37.784000,2.0,9.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,236,1.1,False,0.692,-0.0020000000000000018,0
2024,1,Bahrain Grand Prix,SAI,55,Ferrari,6.0,0 days 00:01:37.741000,5.0,9.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,236,1.1,False,-0.08199999999999996,0.155,0
2024,1,Bahrain Grand Prix,SAR,2,Williams,6.0,0 days 00:01:38.582000,14.0,6.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,0.094,0.107,0
2024,1,Bahrain Grand Prix,STR,18,Aston Martin,6.0,0 days 00:01:38.925000,18.0,6.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,-0.17400000000000004,0.281,0
2024,1,Bahrain Grand Prix,TSU,22,RB,6.0,0 days 00:01:38.361000,10.0,6.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,0.178,0.214,0
2024,1,Bahrain Grand Prix,VER,1,Red Bull Racing,6.0,0 days 00:01:37.092000,1.0,9.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,236,1.1,False,,0.692,0
2024,1,Bahrain Grand Prix,ZHO,24,Kick Sauber,6.0,0 days 00:01:38.488000,13.0,6.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,-0.041000000000000036,0.094,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,7.0,0 days 00:01:38.971000,11.0,7.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,13,0.5,False,0.607,1.087,0
2024,1,Bahrain Grand Prix,ALO,14,Aston Martin,7.0,0 days 00:01:38.008000,8.0,10.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,13,0.5,False,0.024,-0.16900000000000004,0
2024,1,Bahrain Grand Prix,BOT,77,Kick Sauber,7.0,0 days 00:01:38.654000,19.0,7.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,13,0.5,False,-0.11499999999999999,-0.972,0
2024,1,Bahrain Grand Prix,GAS,10,Alpine,7.0,0 days 00:01:39.078000,17.0,7.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,13,0.5,False,-0.07399999999999995,-0.30900000000000005,0
2024,1,Bahrain Grand Prix,HAM,44,Mercedes,7.0,0 days 00:01:37.839000,9.0,10.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,13,0.5,False,-0.16900000000000004,0.525,0
2024,1,Bahrain Grand Prix,HUL,27,Haas F1 Team,7.0,0 days 00:01:37.682000,20.0,6.0,HARD,2.0,,,23.7,18.3,50.0,1017.2,10,0.5,False,-0.972,,0
2024,1,Bahrain Grand Prix,LEC,16,Ferrari,7.0,0 days 00:01:38.957000,4.0,10.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,13,0.5,False,1.1360000000000001,-0.6970000000000001,0
2024,1,Bahrain Grand Prix,MAG,20,Haas F1 Team,7.0,0 days 00:01:40.058000,12.0,7.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,13,0.5,False,1.087,-0.5409999999999999,0
2024,1,Bahrain Grand Prix,NOR,4,McLaren,7.0,0 days 00:01:37.860000,6.0,10.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,13,0.5,False,-0.4,0.124,0
